Product ID,Work Center,Length,ID,Task,Time(min),,Sum of Time(min),Column Labels,,,,,,,,,,,,,
B6RV,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
B6RV,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
B6RV,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
B6RVLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
B6RVLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
B6RVLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BBR,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BBR,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BBR,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BBRLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BBRLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BBRLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BBRLEDPAT,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BBRLEDPAT,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BBRLEDPAT,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BBRPAT,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BBRPAT,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BBRPAT,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BBRV,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BBRV,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BBRV,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BBRVLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BBRVLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BBRVLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BMR,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BMR,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BMR,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BMRLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BMRLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BMRLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BMRLEDPAT,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BMRLEDPAT,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BMRLEDPAT,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BMRPAT,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BMRPAT,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BMRPAT,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BMRV,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BMRV,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BMRV,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BMRVLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BMRVLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BMRVLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BR,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BR,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BR,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BRLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
