 Product ID , Description , Packaging , Work Center , Option , Length , ID , Task , Time (min) ,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,3,bring product to station,0.2,101FW,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,4,dielectric test,0.3,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,5,clean ,0.66,101FWA,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,6,Apply sillicone both sides on 1st end,0.18,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,7,wipe & rub surplus,0.29,202C,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,8,manipulations,0.13,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,9,change side of palet,0.02,202CA,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,10,Apply sillicone both sides on 2sd end,0.18,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,11,wipe & rub surplus,0.29,202CS,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101C,-,Standard Packaging (Silicone),Assembly,packstandsil,8,12,take off one label type from housing & stick on end carton,0.35,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
