 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) ,,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0,,ERS,2.12,,,,2.12,0.1,,,,0.1,0.44,,,,0.44,1.78,,,,1.78,,,,,,4.44,
SRE,recessed,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15,,BI,,2.12,,,2.12,,1.88,,,1.88,,0.44,,,0.44,,3.56,,,3.56,,,,,,8,
SRE,recessed,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.1,,LT,,,,2.82,2.82,,,,2.46,2.46,,,,0.56,0.56,,,,4.72,4.72,,,,,,10.56,
SRE,recessed,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0,,recessed,0.98,0.49,0.55,1.22,3.24,0.2,0.25,0.25,0.5,1.2,0.88,0.44,0.5,1.12,2.94,0.3,0.3,0.3,0.6,1.5,,,,,,8.88,
Complete Section,recessed,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15,,D,,,0.55,,0.55,,,0.25,,0.25,,,0.5,,0.5,,,0.3,,0.3,,,,,,1.6,
Complete Section,recessed,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15,,E,0.49,,,,0.49,0.1,,,,0.1,0.44,,,,0.44,0.15,,,,0.15,,,,,,1.18,
Complete Section,recessed,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0,,ERS,0.49,,,,0.49,0.1,,,,0.1,0.44,,,,0.44,0.15,,,,0.15,,,,,,1.18,
Complete Section,recessed,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0,,BI,,0.49,,,0.49,,0.25,,,0.25,,0.44,,,0.44,,0.3,,,0.3,,,,,,1.48,
SR1,recessed,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15,,LT,,,,1.22,1.22,,,,0.5,0.5,,,,1.12,1.12,,,,0.6,0.6,,,,,,3.44,
SR1,recessed,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0,,surface,3.9,1.95,2.3,2.65,10.8,0.2,1.71,2,2.29,6.2,0.88,0.44,0.5,0.56,2.38,3.22,3.22,3.8,4.38,14.62,,,,,,34,
SR1,recessed,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.1,,D,,,2.3,2.65,4.95,,,2,2.29,4.29,,,0.5,0.56,1.06,,,3.8,4.38,8.18,,,,,,18.48,
SR1,recessed,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0.24,,E,1.95,,,,1.95,0.1,,,,0.1,0.44,,,,0.44,1.61,,,,1.61,,,,,,4.1,
SRM,recessed,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0,,ERS,1.95,,,,1.95,0.1,,,,0.1,0.44,,,,0.44,1.61,,,,1.61,,,,,,4.1,
SRM,recessed,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0,,BI,,1.95,,,1.95,,1.71,,,1.71,,0.44,,,0.44,,3.22,,,3.22,,,,,,7.32,
SRM,recessed,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.2,,wall,3.9,1.95,2.3,5.47,13.62,0.2,1.71,2,4.75,8.66,0.88,0.44,0.5,1.12,2.94,3.22,3.22,3.8,9.1,19.34,,,,,,44.56,
SRM,recessed,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0.24,,D,,,2.3,2.65,4.95,,,2,2.29,4.29,,,0.5,0.56,1.06,,,3.8,4.38,8.18,,,,,,18.48,
SRE,recessed,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0,,E,1.95,,,,1.95,0.1,,,,0.1,0.44,,,,0.44,1.61,,,,1.61,,,,,,4.1,
SRE,recessed,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15,,ERS,1.95,,,,1.95,0.1,,,,0.1,0.44,,,,0.44,1.61,,,,1.61,,,,,,4.1,
SRE,recessed,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.1,,BI,,1.95,,,1.95,,1.71,,,1.71,,0.44,,,0.44,,3.22,,,3.22,,,,,,7.32,
SRE,recessed,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0,,LT,,,,2.82,2.82,,,,2.46,2.46,,,,0.56,0.56,,,,4.72,4.72,,,,,,10.56,
Complete Section,surface,1,BI,Assembly,4,ewdbi1s,1,bring exit wires to exit#1,0.15,,Grid,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,1.2,1.2,
Complete Section,surface,1,BI,Assembly,4,ewdbi1s,2,bring power wires for continious row,0,,D,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,0.3,
Complete Section,surface,1,BI,Assembly,4,ewdbi1s,3,plug 4x pc252 connectors for continius row wires,0,,E,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
Complete Section,surface,1,BI,Assembly,4,ewdbi1s,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,ERS,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
SR1,surface,1,BI,Assembly,4,ewdbi1s,1,bring exit wires to exit#1,0.15,,BI,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.3,0.3,
SR1,surface,1,BI,Assembly,4,ewdbi1s,2,bring power wires for continious row,0.1,,LT,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,
SR1,surface,1,BI,Assembly,4,ewdbi1s,3,plug 4x pc252 connectors for continius row wires,0.24,,Grid LED,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,1.2,1.2,
