 Product ID , Work Center , Length , ID , Activity , Total time (min) ,,,Sum of Total time (min),Column Labels,,,,,,,,,,
L2A,Assembly,8,3,try down light reflector,0.25,,,Preparation,4,8,12,,,,,,,,24
L2A,Assembly,12,2,try up light reflector,0.33,,,TWRWLED,4.34,8.5,12.66,,,,,,,,25.5
L2A,Assembly,12,3,try down light reflector,0.33,,,Assembly,0.34,0.5,0.66,,,,,,,,1.5
L2S,Assembly,4,2,try up light reflector,0.17,,,Preparation,4,8,12,,,,,,,,24
L2S,Assembly,4,3,try down light reflector,0.17,,,B3RLED,1.45,1.45,1.45,,,,,,,,4.35
L2S,Assembly,8,2,try up light reflector,0.25,,,Assembly,1.45,1.45,1.45,,,,,,,,4.35
L2S,Assembly,8,3,try down light reflector,0.25,,,SKFLED,,,,,,,,,,7.5,7.5
L2S,Assembly,12,2,try up light reflector,0.33,,,Sub-Assembly,,,,,,,,,,7.5,7.5
L2S,Assembly,12,3,try down light reflector,0.33,,,CUBLED,4.34,8.5,12.66,,,,,,,,25.5
L2W,Assembly,4,2,try up light reflector,0.17,,,Assembly,0.34,8.5,12.66,,,,,,,,21.5
L2W,Assembly,4,3,try down light reflector,0.17,,,Sub-Assembly,4,,,,,,,,,,4
L2W,Assembly,8,2,try up light reflector,0.25,,,CUBWLED,4.34,8.5,12.66,,,,,,,,25.5
L2W,Assembly,8,3,try down light reflector,0.25,,,Assembly,0.34,8.5,12.66,,,,,,,,21.5
L2W,Assembly,12,2,try up light reflector,0.33,,,Sub-Assembly,4,,,,,,,,,,4
L2W,Assembly,12,3,try down light reflector,0.33,,,LTLED,4,8,12,,,,,,,,24
L2WA,Assembly,4,2,try up light reflector,0.17,,,Assembly,,8,12,,,,,,,,20
L2WA,Assembly,4,3,try down light reflector,0.17,,,Sub-Assembly,4,,,,,,,,,,4
L2WA,Assembly,8,2,try up light reflector,0.25,,,LTWLED,4,8,12,,,,,,,,24
L2WA,Assembly,8,3,try down light reflector,0.25,,,Assembly,,8,12,,,,,,,,20
L2WA,Assembly,12,2,try up light reflector,0.33,,,Sub-Assembly,4,,,,,,,,,,4
L2WA,Assembly,12,3,try down light reflector,0.33,,,Grand Total,332.23,650.95,969.67,7.5,7.5,7.5,7.5,7.5,7.5,7.5,2005.35
L2,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
L2,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
L2,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
L2,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
L2,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
LT,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
LT,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
LT,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
LT,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
LT,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
LT,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
LTA,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
LTA,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
LTA,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
LTA,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
LTA,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
LTA,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
LTW,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
LTW,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
LTW,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
LTW,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
LTW,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
LTW,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
LTWA,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
LTWA,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
LTWA,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
LTWA,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
LTWA,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
LTWA,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SL,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
