Cartridge/Board,Description,Work Center,Type,ID,Task,Qty,Unit Time,Total Time,,,,,,,
cartridge,direct,Subassembly LED,C1-14,9,Handling,1,0.28,0.28,,,C1-11,,5.627972222,,5.627972222
cartridge,direct,Subassembly LED,C1-15,1,Test,8,0.62,4.96,,,C1-12,,6.550111111,,6.550111111
cartridge,direct,Subassembly LED,C1-15,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C1-13,,7.47225,,7.47225
cartridge,direct,Subassembly LED,C1-15,3,Screw board on cartridge 1ft,3,0.125777778,0.377333333,,,C1-14,,8.394388889,,8.394388889
cartridge,direct,Subassembly LED,C1-15,4,Screw board on cartridge 2'',5,0.062888889,0.314444444,,,C1-15,,8.761527778,,8.761527778
cartridge,direct,Subassembly LED,C1-15,5,Cut reflector,1,0.555,0.555,,,C1-16,,5.235861111,,5.235861111
cartridge,direct,Subassembly LED,C1-15,6,Plug 2 boards,7,0.13925,0.97475,,,C1-17,,6.158,,6.158
cartridge,direct,Subassembly LED,C1-15,7,Total of screw,11,0.1,1.1,,,C1-18,,7.080138889,,7.080138889
cartridge,direct,Subassembly LED,C1-15,8,Apply 2 type labels,1,0.2,0.2,,,C1-19,,8.002277778,,8.002277778
cartridge,direct,Subassembly LED,C1-15,9,Handling,1,0.28,0.28,,,C1-2,,4.380055556,,4.380055556
cartridge,direct,Subassembly LED,C1-16,1,Test,4,0.62,2.48,,,C1-20,,8.924416667,,8.924416667
cartridge,direct,Subassembly LED,C1-16,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C1-21,,9.291555556,,9.291555556
cartridge,direct,Subassembly LED,C1-16,3,Screw board on cartridge 1ft,4,0.125777778,0.503111111,,,C1-3,,5.302194444,,5.302194444
cartridge,direct,Subassembly LED,C1-16,4,Screw board on cartridge 2'',0,0.062888889,0,,,C1-4,,6.224333333,,6.224333333
cartridge,direct,Subassembly LED,C1-16,5,Cut reflector,1,0.555,0.555,,,C1-5,,6.591472222,,6.591472222
cartridge,direct,Subassembly LED,C1-16,6,Plug 2 boards,3,0.13925,0.41775,,,C1-6,,4.542944444,,4.542944444
cartridge,direct,Subassembly LED,C1-16,7,Total of screw,8,0.1,0.8,,,C1-7,,5.465083333,,5.465083333
cartridge,direct,Subassembly LED,C1-16,8,Apply 2 type labels,1,0.2,0.2,,,C1-8,,6.387222222,,6.387222222
cartridge,direct,Subassembly LED,C1-16,9,Handling,1,0.28,0.28,,,C1-9,,7.309361111,,7.309361111
cartridge,direct,Subassembly LED,C1-17,1,Test,5,0.62,3.1,,,C2-1,,3.620805556,,3.620805556
cartridge,direct,Subassembly LED,C1-17,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C2-10,,7.447277778,,7.447277778
cartridge,direct,Subassembly LED,C1-17,3,Screw board on cartridge 1ft,4,0.125777778,0.503111111,,,C2-2,,4.542944444,,4.542944444
cartridge,direct,Subassembly LED,C1-17,4,Screw board on cartridge 2'',1,0.062888889,0.062888889,,,C2-3,,5.465083333,,5.465083333
cartridge,direct,Subassembly LED,C1-17,5,Cut reflector,1,0.555,0.555,,,C2-4,,6.387222222,,6.387222222
cartridge,direct,Subassembly LED,C1-17,6,Plug 2 boards,4,0.13925,0.557,,,C2-5,,6.754361111,,6.754361111
cartridge,direct,Subassembly LED,C1-17,7,Total of screw,9,0.1,0.9,,,C2-6,,4.313722222,,4.313722222
cartridge,direct,Subassembly LED,C1-17,8,Apply 2 type labels,1,0.2,0.2,,,C2-7,,5.235861111,,5.235861111
cartridge,direct,Subassembly LED,C1-17,9,Handling,1,0.28,0.28,,,C2-8,,6.158,,6.158
cartridge,direct,Subassembly LED,C1-18,1,Test,6,0.62,3.72,,,C2-9,,7.080138889,,7.080138889
cartridge,direct,Subassembly LED,C1-18,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C3-1,,3.783694444,,3.783694444
cartridge,direct,Subassembly LED,C1-18,3,Screw board on cartridge 1ft,4,0.125777778,0.503111111,,,C3-10,,7.080138889,,7.080138889
cartridge,direct,Subassembly LED,C1-18,4,Screw board on cartridge 2'',2,0.062888889,0.125777778,,,C3-11,,8.002277778,,8.002277778
cartridge,direct,Subassembly LED,C1-18,5,Cut reflector,1,0.555,0.555,,,C3-12,,8.369416667,,8.369416667
cartridge,direct,Subassembly LED,C1-18,6,Plug 2 boards,5,0.13925,0.69625,,,C3-2,,4.705833333,,4.705833333
cartridge,direct,Subassembly LED,C1-18,7,Total of screw,10,0.1,1,,,C3-3,,5.627972222,,5.627972222
cartridge,direct,Subassembly LED,C1-18,8,Apply 2 type labels,1,0.2,0.2,,,C3-4,,6.550111111,,6.550111111
cartridge,direct,Subassembly LED,C1-18,9,Handling,1,0.28,0.28,,,C3-5,,7.47225,,7.47225
cartridge,direct,Subassembly LED,C1-19,1,Test,7,0.62,4.34,,,C3-6,,7.839388889,,7.839388889
cartridge,direct,Subassembly LED,C1-19,2,Screw board on cartridge 2ft,0,0.188666667,0,,,C3-7,,4.313722222,,4.313722222
cartridge,direct,Subassembly LED,C1-19,3,Screw board on cartridge 1ft,4,0.125777778,0.503111111,,,C3-8,,5.235861111,,5.235861111
cartridge,direct,Subassembly LED,C1-19,4,Screw board on cartridge 2'',3,0.062888889,0.188666667,,,C3-9,,6.158,,6.158
cartridge,direct,Subassembly LED,C1-19,5,Cut reflector,1,0.555,0.555,,,C4-1,,1.980777778,,1.980777778
