 Product ID , Lighting , Fixture Type , Mounting , Work Center , Section , Length , Option , ID , Task ,Time(min),,Sum of Time(min),Column Labels,,,,,,,
DAYF,fluorescent,Grid,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYF,fluorescent,Grid,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,5.73,,,,,,,,,,
DAYF,fluorescent,Grid,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.42,,,,,,,,,,
DAYF,fluorescent,Grid,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.32,,,,,,,,,,
DAYF,fluorescent,Grid,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DIALED,led,Grid LED,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
DIALED,led,Grid LED,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
DIALED,led,Grid LED,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
POLED,led,Grid LED,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
POLED,led,Grid LED,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
WALED,led,Grid LED,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
WALED,led,Grid LED,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TG9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
DIALED,led,Grid LED,TG9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TG9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TG9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
DIALED,led,Grid LED,TG9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TG9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
POLED,led,Grid LED,TG9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TG9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TG9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
POLED,led,Grid LED,TG9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TG9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
WALED,led,Grid LED,TG9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
