 Product ID , Work Center , Option , Task , Time(min) ,, Sum of Time(min) , Column Labels ,,,,
 SUS , Drilling , subendc8 , Set-up ,5.00,, TBILEDPAT ,,0.00,,,0.00
 101CW , Single Saw , subendc9 , Set-up ,3.00,, TBIPAT ,,0.00,,,0.00
 101CWA , Single Saw , subendc9 , Set-up ,3.00,, TBLEDPAT ,,0.00,,,0.00
 101FW , Single Saw , subendc9 , Set-up ,3.00,, TBPAT ,,0.00,,,0.00
 101FWA , Single Saw , subendc9 , Set-up ,3.00,, TBW ,,0.00,,,0.00
 202CW , Single Saw , subendc9 , Set-up ,3.00,, TBWDILED ,,0.00,,,0.00
 202CWA , Single Saw , subendc9 , Set-up ,3.00,, TBWDILEDPAT ,,0.00,,,0.00
 202FW , Single Saw , subendc9 , Set-up ,3.00,, TBWDLED ,,0.00,,,0.00
 202FWA , Single Saw , subendc9 , Set-up ,3.00,, TBWDLEDPAT ,,0.00,,,0.00
 ARCW , Single Saw , subendc9 , Set-up ,3.00,, TBWDPAT ,,0.00,,,0.00
 ARCWA , Single Saw , subendc9 , Set-up ,3.00,, TBWILED ,,0.00,,,0.00
 BASW , Single Saw , subendc9 , Set-up ,3.00,, TBWILEDPAT ,,0.00,,,0.00
 BASWA , Single Saw , subendc9 , Set-up ,3.00,, TBWIPAT ,,0.00,,,0.00
 CUBW , Single Saw , subendc9 , Set-up ,3.00,, TBWPAT ,,0.00,,,0.00
 CUBWA , Single Saw , subendc9 , Set-up ,3.00,, TWC ,,0.00,,,0.00
 CUW , Single Saw , subendc9 , Set-up ,3.00,, TWCW ,,0.00,,,0.00
 CUWA , Single Saw , subendc9 , Set-up ,3.00,, TWO ,,0.00,,,0.00
 FLW , Single Saw , subendc9 , Set-up ,3.00,, TWOW ,,0.00,,,0.00
 L2W , Single Saw , subendc9 , Set-up ,3.00,, TWR ,,0.00,,,0.00
 L2WA , Single Saw , subendc9 , Set-up ,3.00,, TWRLED ,,0.00,,,0.00
