 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) 
SRE,surface,2A/B,BI,Assembly,4,ewdbi2s,3,bring power wires for continious row,0.1
SRE,surface,2A/B,BI,Assembly,4,ewdbi2s,4,plug 4x pc252 connectors for continius row wires,0
SRE,surface,2A/B,BI,Assembly,4,ewdbi2s,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
Complete Section,wall,1,BI,Assembly,4,ewdbi1w,1,bring exit wires to exit#1,0.15
Complete Section,wall,1,BI,Assembly,4,ewdbi1w,2,bring power wires for continious row,0
Complete Section,wall,1,BI,Assembly,4,ewdbi1w,3,plug 4x pc252 connectors for continius row wires,0
Complete Section,wall,1,BI,Assembly,4,ewdbi1w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SR1,wall,1,BI,Assembly,4,ewdbi1w,1,bring exit wires to exit#1,0.15
SR1,wall,1,BI,Assembly,4,ewdbi1w,2,bring power wires for continious row,0.1
SR1,wall,1,BI,Assembly,4,ewdbi1w,3,plug 4x pc252 connectors for continius row wires,0.24
SR1,wall,1,BI,Assembly,4,ewdbi1w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SRM,wall,1,BI,Assembly,4,ewdbi1w,1,bring exit wires to exit#1,0
SRM,wall,1,BI,Assembly,4,ewdbi1w,2,bring power wires for continious row,0.2
SRM,wall,1,BI,Assembly,4,ewdbi1w,3,plug 4x pc252 connectors for continius row wires,0.24
SRM,wall,1,BI,Assembly,4,ewdbi1w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
SRE,wall,1,BI,Assembly,4,ewdbi1w,1,bring exit wires to exit#1,0
SRE,wall,1,BI,Assembly,4,ewdbi1w,2,bring power wires for continious row,0.1
SRE,wall,1,BI,Assembly,4,ewdbi1w,3,plug 4x pc252 connectors for continius row wires,0
SRE,wall,1,BI,Assembly,4,ewdbi1w,4,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
Complete Section,wall,2,BI,Assembly,4,ewdbi2w,1,bring exit wires to exit#1,0.15
Complete Section,wall,2,BI,Assembly,4,ewdbi2w,2,bring exit wires to exit#2,0.15
Complete Section,wall,2,BI,Assembly,4,ewdbi2w,3,bring power wires for continious row,0
Complete Section,wall,2,BI,Assembly,4,ewdbi2w,4,plug 4x pc252 connectors for continius row wires,0
Complete Section,wall,2,BI,Assembly,4,ewdbi2w,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,2.92
SR1,wall,2,BI,Assembly,4,ewdbi2w,1,bring exit wires to exit#1,0.15
SR1,wall,2,BI,Assembly,4,ewdbi2w,2,bring exit wires to exit#2,0
SR1,wall,2,BI,Assembly,4,ewdbi2w,3,bring power wires for continious row,0.1
SR1,wall,2,BI,Assembly,4,ewdbi2w,4,plug 4x pc252 connectors for continius row wires,0.24
SR1,wall,2,BI,Assembly,4,ewdbi2w,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SRM,wall,2,BI,Assembly,4,ewdbi2w,1,bring exit wires to exit#1,0
SRM,wall,2,BI,Assembly,4,ewdbi2w,2,bring exit wires to exit#2,0
SRM,wall,2,BI,Assembly,4,ewdbi2w,3,bring power wires for continious row,0.2
SRM,wall,2,BI,Assembly,4,ewdbi2w,4,plug 4x pc252 connectors for continius row wires,0.24
SRM,wall,2,BI,Assembly,4,ewdbi2w,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0
SRE,wall,2,BI,Assembly,4,ewdbi2w,1,bring exit wires to exit#1,0
SRE,wall,2,BI,Assembly,4,ewdbi2w,2,bring exit wires to exit#2,0.15
SRE,wall,2,BI,Assembly,4,ewdbi2w,3,bring power wires for continious row,0.1
SRE,wall,2,BI,Assembly,4,ewdbi2w,4,plug 4x pc252 connectors for continius row wires,0
SRE,wall,2,BI,Assembly,4,ewdbi2w,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
Complete Section,wall,2A/B,BI,Assembly,4,ewdbi2w,1,bring exit wires to exit#1,0.15
Complete Section,wall,2A/B,BI,Assembly,4,ewdbi2w,2,bring exit wires to exit#2,0.15
Complete Section,wall,2A/B,BI,Assembly,4,ewdbi2w,3,bring power wires for continious row,0
Complete Section,wall,2A/B,BI,Assembly,4,ewdbi2w,4,plug 4x pc252 connectors for continius row wires,0
